Product ID,Active (0/1),Name *,Name2,Name1+Name2,"Categories (x,y,z...)",Price tax included,Manufacturer,Quantity,Minimal quantity,Short description,FAO,Description (описание),"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,Text when in stock,"Image URLs (x,y,z...)"
,1,Кукурудза ,ДМ Санрайз,Кукурудза  ДМ Санрайз,"14,22",1150,3,,,,440,ДМ Санрайз (ФАО 440)- среднепоздний гибрид кукурузы в Украине от компании МАИС.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Квітневий 187 МВ,Кукурудза  Квітневий 187 МВ,"14,22",990,3,,,,190,Квитневый 187 МВ (ФАО 180) — раннеспелый гибрид кукурузы. Рекомендован для выращивания в регионах Лесостепи и Полесья Украины.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 2409,Кукурудза  ДМС 2409,"14,22",990,3,,,,240,"ДМС 2409 (ФАО 240) — среднеранний простой межлинейный гибрид кукурузы зернового типа. Рекомендован для выращивания в регионах Северной Степи, Лесостепи и Полесья. Характеризуется холодостойкостью и устойчивостью к пыльной головне.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 2911,Кукурудза  ДМС 2911,"14,22",990,3,,,,290,ДМС 2911 — среднеранний простой модифицированый гибрид кукурузы в Украине.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 2510,Кукурудза  ДМС 2510,"14,22",990,3,,,,250,ДМС 2510 (ФАО 250)- среднеранний гибрид кукурузы в Украине от компании МАИС.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Сплав МС 290,Кукурудза  Сплав МС 290,"14,22",990,3,,,,290,Сплав МС 290 — простой модифицированный зерновой гибрид кукурузы в Украине. Рекомендован для выращивания в Северной Степи.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Вілія,Кукурудза  Вілія,"14,22",990,3,,,,300,Вилия (ФАО 300) — среднеранний модифицированный гибрид кукурузы.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 3510,Кукурудза  ДМС 3510,"14,22",990,3,,,,350,ДМС 3510 (ФАО 350) — среднеспелый простой межлинейный гибрид кукурузы.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС Адаптер,Кукурудза  ДМС Адаптер,"14,22",990,3,,,,360,ДМС Адаптер (ФАО 360) - среднеспелый гибрид кукурузы в Украине.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Турія,Кукурудза  Турія,"14,22",990,3,,,,390,Турия (ФАО 400) — среднепоздний простой межлинейный гибрид кукурузы Компании Маис.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Штандарт,Кукурудза  Штандарт,"14,22",990,3,,,,400,Штандарт (ФАО 400) — среднепоздний гибрид кукурузы от украинского производителя семян Компании Маис.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Джекпот МС,Кукурудза  Джекпот МС,"14,22",700,3,,,,180,Семена гибрида кукурузы имеют кремнисто-зубовидный тип. Рекомендованы для выращивания в регионах Полесья.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Премія 190 МВ,Кукурудза  Премія 190 МВ,"14,22",700,3,,,,190,"Премия 190 МВ (ФАО 190) — семена гибрида кукурузы рекомендованы к выращиванию в Лесостепи (на зерно) и Полесье (на зерно и силос). Раннеспелый, имеет высокую предрасположенность к двухпочатковости.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Заліщицький 191 СВ,Кукурудза  Заліщицький 191 СВ,"14,22",700,3,,,,190,Залещицкий 191 СВ — раннеспелый простой модифицированный гибрид. Семена гибрида кукурузы рекомендованы для Полесья Украины.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Візаві,Кукурудза  Візаві,"14,22",700,3,,,,200,Визави (ФАО 190) — раннеспелый простой модифицированный гибрид кукурузы. Характеризуется высокой устойчивостью к холоду и рекомендован для выращивания в регионах Лесостепи и Полесья Украины.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Шаян,Кукурудза  Шаян,"14,22",700,3,,,,220,"Шаян (ФАО 220) — среднеранний тройной межлинейный гибрид кукурузы в Украине. Семена рекомендованы для выращивания в регионах Степи, Лесостепи и Полесья.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Ізяслав 220 МВ,Кукурудза  Ізяслав 220 МВ,"14,22",700,3,,,,220,"Изяслав 220 МВ (ФАО 220) — среднеранний простой модифицированный гибрид кукурузы в Украине, который рекомендован для выращивания в регионах Лесостепи и Полесья.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Бестселер 287 СВ,Кукурудза  Бестселер 287 СВ,"14,22",700,3,,,,280,Бестселер 287 СВ - среднеспелый гибрид кукурузы в Украине.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Вензель,Кукурудза  Вензель,"14,22",700,3,,,,290,"Вензель (ФАО 280) — среднеранний простой модифицированный гибрид кукурузы в Украине. Характеризуется стабильным урожаем при засушливых условиях. Устойчив к летучей и пузырчастой сажке и устойчив к полеганию. Рекомендован для выращивания в регионах Степи и Лесостепи.
Зерновой гибрид для Запорожской области.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Євро 301 МВ,Кукурудза  Євро 301 МВ,"14,22",700,3,,,,300,Евро 301 МВ — семена среднераннего простого модифицированного гибрида кукурузы в Украине.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Арія МС 330,Кукурудза  Арія МС 330,"14,22",700,3,,,,330,Ария МС 330 — семена гибрида кукурузы в Украине. Он среднеспелый простой модифицированный.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Круг 340 ВС,Кукурудза  Круг 340 ВС,"14,22",700,3,,,,340,Круг 340 ВС (ФАО 340) — среднеспелый простой модифицированный гибрид кукурузы в Украине.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Красилів 327 МВ,Кукурудза  Красилів 327 МВ,"14,22",700,3,,,,350,"Красилов 327 МВ (ФАО 350) — среднеспелый простой модифицированный гибрид кукурузы. Характеризуется высокоустойчивостью к засухам, жаре, пузырчатой головне, а так же к кукурузному мотыльку. Семена гибрида (зёрна) имеют зубовидную форму, расположенную на початке в 14-16 рядов.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 3908,Кукурудза  ДМС 3908,"14,22",700,3,,,,390,ДМС 3908 (ФАО 390) — среднеспелый простой модифицированный гибрид кукурузы украинского производителя Компании МАИС. Рекомендован для выращивания в регионах Лесостепи и Степи.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
